V2022,V2023,V2024,V2025,V2026,V2032,V2033CAT,V2034,V2038,V2040A,V2042CAT,V2045,V2047,V2078,V2120,V2126B,V2127B,V2128B,V2129,V2132,V3012,V3018,V3020,V3023A,V3032,V3033,V3061,V3064,V3071,V3072,V3074,V3075,V3076,VS0005,VS0010,VS0011,VS0022,VS0023,VS0024,VS0025,VS0026,VS0027,VS0029,VS0031,VS0041,VS0043,VS0045,VS0046,VS0047,VS0048,VS0049,VS0050,VS0051,VS0052,VS0053,VS0054,VS0055,VS0146,VS0147,VS0148,VS0149,VS0150,VS0151,VS0057,VS0152,VS0153,VS0154,VS0155,VS0058,VS0059,VS0060,VS0061,VS0062,VS0063,VS0064,VS0065,VS0066,VS0067,VS0068,VS0069,VS0124,VS0126,VS0133,VS0134,VS0137,VS0138,VS0139,VS0140,VS0141,o_bullied
1,1,1,9,13,2,4,1,42,4,4,1,42,2,9,17,4,4,2,4,3,1,9,4,5,99,1,0,2,2,99,9,9,2,16,2,9,12,4,3,4,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,4,3,3,3,2,1,1,2,9,2,2,1,1,4,1
1,1,1.538912472,1,98,11,4,3,28,1,4,2,28,1,9,18,3,1,1,4,4,2,9,1,5,99,0,0,9,9,99,9,9,1,14,1,9,9,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,4,4,3,3,1,2,1,3,1,99,2,1,1,2,0
1,1,1,9,14,2,4,1,42,1,4,1,42,2,9,18,4,4,1,4,3,1,7,1,2,3,0,1,9,9,99,9,9,1,13,1,0,8,5,1,5,1,2,2,3,3,1,2,2,2,2,1,2,2,2,1,3,1,2,1,2,1,1.975742874,1,1,1,1,1,2,2,2,2,4,2,4,4,2,2,2,2,1,1,2,9,99,1,1,1,1,0
1,1,1,9,98,11,3,5,33.43117041,1,3,2,33.32383263,2,9,16,2,1,2,4,3,1,11,1,9,99,0,0,2,2,99,9,9,1,18,1,9,12,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,99,2,2,9,1,0
1,1,1,9,8,2,4,1,41,1,4,1,40,4,2,0,4,1,2,4,4,2,10,1,2,2,0,1,2,2,99,9,9,1,17,1,0,12,2,3,2,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,1,2,1,2,9,99,2,1,1,2,1
1,1,1,9,13,2,4,1,28,1,4,1,27,3,9,0,2,3,3,1,4,2,7,1,13,99,1,0,9,9,99,9,9,2,13,2,7,9,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,3,3,5,0
1,1,4,1,4,11,3,5,40,1,3,2,40,1,2,0,3,3,2,1,3,1,7,1,1,2,0,1,9,9,99,9,9,1,12,1,6,8,4,1,2,1,1,2,1,1,1,4,3,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,3,1,3,2,2,2,2,2,2,2,2,4,2,2,2,1,1,1,2,9,99,2,1,1,2,1
1,1,1,9,1,11,5,4,40,1,5,2,40,1,9,0,2,1,2,4,4,2,11,1,1,2,0,0,2,2,99,9,9,1,17,1,9,12,4,2,4,4,1,1,1,1,1,3,3,2,2,3,1,2,2,2,2,1,1,2,1,1,2,1,3,2,1,1,1,1,2,3,2,3,3,3,3,1,2,1,1,1,2,9,99,2,1,1,1,1
1,1,1,9,12,2,4,1,42,1,4,1,43,2,9,16,4,1,2,4,4,2,9.330301193,1,3,1,1,0,2,2,99,9,9,3,17,2,11,12,4,1,4,2,1,1,3,3,1,2,2,1,1,2,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,4,3,2,2,2,2,2,3,6,99,1,1,1,4,0
1,1,1,9,9,11,4,1,11,1,4,2,11,1,9,13,4,1,2,4,3,1,10,1,7,99,0,0,2,1,93.37517687,8.411158278,8.4396604,3,18,1,9,12,2,2,2,1,2,2,4,1,1,2,4,2,1,1,1,2,2,1,3,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,1,0
